what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineStart",1335251885428
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1335251888217
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1335251892031
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1335251894566
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335251897513
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335251902698
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335251908113
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1335251927771
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335251968140
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335251985682
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335251987063
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335252011890
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335252015498
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335252043085
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1335252062083
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1335252064896
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineEnd",1335252065754
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineStart",1335252075668
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1335252078425
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1335252078935
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1335252079923
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1335252080341
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineStart",1335252080807
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1335252083303
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1335252084498
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1335252085623
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335252088460
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335252108859
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335252110445
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335252114790
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335252115676
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335252126527
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335252129048
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335252141679
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335252152710
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335252155046
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335252156666
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335252162355
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335252164774
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineStart",1335252169631
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1335252170493
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1335252171300
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335252172460
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335252178251
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1335252179816
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1335252180483
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineStart",1335252183401
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineStart",1335252186856
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1335252187931
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1335252204112
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1335252208335
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1335252214188
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineStart",1335252220170
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1335252222652
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1335252232970
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineEnd",1335252239502
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1335252243707
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335252251794
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335252296954
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335252301014
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335252318766
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1335252331498
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1335252334804
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1335252355929
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1335252356902
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1335252357432
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1335252357936
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1335252358457
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1335252368132
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1335252368859
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1335252378907
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1335252384361
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1335252385478
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineStart",1335252386904
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineStart",1335252388549
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineStart",1335252389296
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335252411435
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335252439436
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1335252464124
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1335252466870
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1335252467891
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1335252473669
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1335252476446
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1335252477004
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineEnd",1335252479206
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineStart",1335252480152
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1335252480379
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineStart",1335252481119
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineStart",1335252482373
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineStart",1335252482901
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1335252483731
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1335252485761
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1335252486762
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1335252492740
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1335252494495
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1335252496311
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1335252497964
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335252499730
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335252510624
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335252523971
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335252539429
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335252542131
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335252553618
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1335252567615
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335252572546
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335252617976
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335252622695
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335252626246
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335252630633
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335252778765
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335252779751
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335252781135
